ZIP,"Latitude","Longitude","Accuracy Score","Accuracy Type","Address Line 1","Address Line 2","Address Line 3","House Number","Street","Unit Type","Unit Number","City","State","County","Postal Code","Country","Source"
59102-6768,45.790379,-108.588144,1,place,,,"Billings, MT 59102",,,,,Billings,MT,"Yellowstone County",59102,US,"TIGER/Line® dataset from the US Census Bureau"
59103-1977,45.978288,-108.194508,1,place,,,"Billings, MT 59103",,,,,Billings,MT,"Yellowstone County",59103,US,"TIGER/Line® dataset from the US Census Bureau"
59105-2859,45.949726,-108.599037,1,place,,,"Billings, MT 59105",,,,,Billings,MT,"Yellowstone County",59105,US,"TIGER/Line® dataset from the US Census Bureau"
59105-5347,45.949726,-108.599037,1,place,,,"Billings, MT 59105",,,,,Billings,MT,"Yellowstone County",59105,US,"TIGER/Line® dataset from the US Census Bureau"
59106,45.813662,-108.705501,1,place,,,"Billings, MT 59106",,,,,Billings,MT,"Yellowstone County",59106,US,"TIGER/Line® dataset from the US Census Bureau"
59106-4743,45.813662,-108.705501,1,place,,,"Billings, MT 59106",,,,,Billings,MT,"Yellowstone County",59106,US,"TIGER/Line® dataset from the US Census Bureau"
59201-1724,48.09168,-105.64278,1,place,,,"Wolf Point, MT 59201",,,,,"Wolf Point",MT,"Roosevelt County",59201,US,"TIGER/Line® dataset from the US Census Bureau"
59223,47.833775,-106.212668,1,place,,,"Fort Peck, MT 59223",,,,,"Fort Peck",MT,"McCone County",59223,US,"TIGER/Line® dataset from the US Census Bureau"
59255-0616,48.115522,-105.189701,1,place,,,"Poplar, MT 59255",,,,,Poplar,MT,"Roosevelt County",59255,US,"TIGER/Line® dataset from the US Census Bureau"
59323-9686,45.934423,-106.636783,1,place,,,"Colstrip, MT 59323",,,,,Colstrip,MT,"Rosebud County",59323,US,"TIGER/Line® dataset from the US Census Bureau"
59327-9011,46.174223,-106.6303,1,place,,,"Forsyth, MT 59327",,,,,Forsyth,MT,"Rosebud County",59327,US,"TIGER/Line® dataset from the US Census Bureau"
59330,47.180623,-104.774873,1,place,,,"Glendive, MT 59330",,,,,Glendive,MT,"Dawson County",59330,US,"TIGER/Line® dataset from the US Census Bureau"
59330-9509,47.180623,-104.774873,1,place,,,"Glendive, MT 59330",,,,,Glendive,MT,"Dawson County",59330,US,"TIGER/Line® dataset from the US Census Bureau"
59401,47.511219,-111.2755,1,place,,,"Great Falls, MT 59401",,,,,"Great Falls",MT,"Cascade County",59401,US,"TIGER/Line® dataset from the US Census Bureau"
59401-2306,47.511219,-111.2755,1,place,,,"Great Falls, MT 59401",,,,,"Great Falls",MT,"Cascade County",59401,US,"TIGER/Line® dataset from the US Census Bureau"
59401-3114,47.511219,-111.2755,1,place,,,"Great Falls, MT 59401",,,,,"Great Falls",MT,"Cascade County",59401,US,"TIGER/Line® dataset from the US Census Bureau"
59404,47.554109,-111.391407,1,place,,,"Great Falls, MT 59404",,,,,"Great Falls",MT,"Cascade County",59404,US,"TIGER/Line® dataset from the US Census Bureau"
59404-1841,47.554109,-111.391407,1,place,,,"Great Falls, MT 59404",,,,,"Great Falls",MT,"Cascade County",59404,US,"TIGER/Line® dataset from the US Census Bureau"
59404-3835,47.554109,-111.391407,1,place,,,"Great Falls, MT 59404",,,,,"Great Falls",MT,"Cascade County",59404,US,"TIGER/Line® dataset from the US Census Bureau"
59404-6495,47.554109,-111.391407,1,place,,,"Great Falls, MT 59404",,,,,"Great Falls",MT,"Cascade County",59404,US,"TIGER/Line® dataset from the US Census Bureau"
59405,47.277623,-111.290803,1,place,,,"Great Falls, MT 59405",,,,,"Great Falls",MT,"Cascade County",59405,US,"TIGER/Line® dataset from the US Census Bureau"
59405-3504,47.277623,-111.290803,1,place,,,"Great Falls, MT 59405",,,,,"Great Falls",MT,"Cascade County",59405,US,"TIGER/Line® dataset from the US Census Bureau"
59425-2717,48.182782,-111.845931,1,place,,,"Conrad, MT 59425",,,,,Conrad,MT,"Pondera County",59425,US,"TIGER/Line® dataset from the US Census Bureau"
59436-0852,47.61386,-112.207191,1,place,,,"Fairfield, MT 59436",,,,,Fairfield,MT,"Teton County",59436,US,"TIGER/Line® dataset from the US Census Bureau"
59443-0215,47.545978,-111.875624,1,place,,,"Fort Shaw, MT 59443",,,,,"Fort Shaw",MT,"Cascade County",59443,US,"TIGER/Line® dataset from the US Census Bureau"
59447-9033,47.258941,-110.494703,1,place,,,"Geyser, MT 59447",,,,,Geyser,MT,"Judith Basin County",59447,US,"TIGER/Line® dataset from the US Census Bureau"
59452,46.996773,-109.875615,1,place,,,"Hobson, MT 59452",,,,,Hobson,MT,"Judith Basin County",59452,US,"TIGER/Line® dataset from the US Census Bureau"
59457-3345,47.06247,-109.42824,1,place,,,"Lewistown, MT 59457",,,,,Lewistown,MT,"Fergus County",59457,US,"TIGER/Line® dataset from the US Census Bureau"
59457-3588,47.06247,-109.42824,1,place,,,"Lewistown, MT 59457",,,,,Lewistown,MT,"Fergus County",59457,US,"TIGER/Line® dataset from the US Census Bureau"
59501-3530,48.55417,-109.67853,1,place,,,"Havre, MT 59501",,,,,Havre,MT,"Hill County",59501,US,"TIGER/Line® dataset from the US Census Bureau"
59522-0544,48.510659,-110.967372,1,place,,,"Chester, MT 59522",,,,,Chester,MT,"Liberty County",59522,US,"TIGER/Line® dataset from the US Census Bureau"
59522-7802,48.510659,-110.967372,1,place,,,"Chester, MT 59522",,,,,Chester,MT,"Liberty County",59522,US,"TIGER/Line® dataset from the US Census Bureau"
59601,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-0443,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-0474,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-1319,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-1413,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-2709,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-3524,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-3633,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-4108,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-4205,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-4711,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-4984,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-5125,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-5317,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-5445,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-5446,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-6041,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-6113,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-6147,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59601-6326,46.527398,-112.21037,1,place,,,"Helena, MT 59601",,,,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
59602,46.707449,-111.957961,1,place,,,"Helena, MT 59602",,,,,Helena,MT,"Lewis And Clark County",59602,US,"TIGER/Line® dataset from the US Census Bureau"
59602-0566,46.707449,-111.957961,1,place,,,"Helena, MT 59602",,,,,Helena,MT,"Lewis And Clark County",59602,US,"TIGER/Line® dataset from the US Census Bureau"
59602-6701,46.707449,-111.957961,1,place,,,"Helena, MT 59602",,,,,Helena,MT,"Lewis And Clark County",59602,US,"TIGER/Line® dataset from the US Census Bureau"
59602-8958,46.707449,-111.957961,1,place,,,"Helena, MT 59602",,,,,Helena,MT,"Lewis And Clark County",59602,US,"TIGER/Line® dataset from the US Census Bureau"
59632-0566,46.141948,-111.942989,1,place,,,"Boulder, MT 59632",,,,,Boulder,MT,"Jefferson County",59632,US,"TIGER/Line® dataset from the US Census Bureau"
59634-9553,46.4506,-112.00596,1,place,,,"Clancy, MT 59634",,,,,Clancy,MT,"Jefferson County",59634,US,"TIGER/Line® dataset from the US Census Bureau"
59634-9554,46.4506,-112.00596,1,place,,,"Clancy, MT 59634",,,,,Clancy,MT,"Jefferson County",59634,US,"TIGER/Line® dataset from the US Census Bureau"
59634-9816,46.4506,-112.00596,1,place,,,"Clancy, MT 59634",,,,,Clancy,MT,"Jefferson County",59634,US,"TIGER/Line® dataset from the US Census Bureau"
59635-1584,46.58799,-111.92388,1,place,,,"East Helena, MT 59635",,,,,"East Helena",MT,"Lewis And Clark County",59635,US,"TIGER/Line® dataset from the US Census Bureau"
59639-1057,46.958253,-112.623833,1,place,,,"Lincoln, MT 59639",,,,,Lincoln,MT,"Lewis And Clark County",59639,US,"TIGER/Line® dataset from the US Census Bureau"
59701-4452,45.997895,-112.598765,1,place,,,"Butte, MT 59701",,,,,Butte,MT,"Silver Bow County",59701,US,"TIGER/Line® dataset from the US Census Bureau"
59701-5506,45.997895,-112.598765,1,place,,,"Butte, MT 59701",,,,,Butte,MT,"Silver Bow County",59701,US,"TIGER/Line® dataset from the US Census Bureau"
59701-8007,45.997895,-112.598765,1,place,,,"Butte, MT 59701",,,,,Butte,MT,"Silver Bow County",59701,US,"TIGER/Line® dataset from the US Census Bureau"
59701-9365,45.997895,-112.598765,1,place,,,"Butte, MT 59701",,,,,Butte,MT,"Silver Bow County",59701,US,"TIGER/Line® dataset from the US Census Bureau"
59701-9600,45.997895,-112.598765,1,place,,,"Butte, MT 59701",,,,,Butte,MT,"Silver Bow County",59701,US,"TIGER/Line® dataset from the US Census Bureau"
59711-2468,46.15821,-113.009421,1,place,,,"Anaconda, MT 59711",,,,,Anaconda,MT,"Deer Lodge County",59711,US,"TIGER/Line® dataset from the US Census Bureau"
59713-0319,46.62625,-112.5818,1,place,,,"Avon, MT 59713",,,,,Avon,MT,"Powell County",59713,US,"TIGER/Line® dataset from the US Census Bureau"
59714,45.77576,-111.17718,1,place,,,"Belgrade, MT 59714",,,,,Belgrade,MT,"Gallatin County",59714,US,"TIGER/Line® dataset from the US Census Bureau"
59714-4224,45.77576,-111.17718,1,place,,,"Belgrade, MT 59714",,,,,Belgrade,MT,"Gallatin County",59714,US,"TIGER/Line® dataset from the US Census Bureau"
59714-7707,45.77576,-111.17718,1,place,,,"Belgrade, MT 59714",,,,,Belgrade,MT,"Gallatin County",59714,US,"TIGER/Line® dataset from the US Census Bureau"
59714-8479,45.77576,-111.17718,1,place,,,"Belgrade, MT 59714",,,,,Belgrade,MT,"Gallatin County",59714,US,"TIGER/Line® dataset from the US Census Bureau"
59714-9111,45.77576,-111.17718,1,place,,,"Belgrade, MT 59714",,,,,Belgrade,MT,"Gallatin County",59714,US,"TIGER/Line® dataset from the US Census Bureau"
59715,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-1503,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-1772,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-2905,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-3817,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-3843,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-3976,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-4011,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-5162,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-5208,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-5279,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-5408,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-5717,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-6002,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
59715-6015,45.82641,-110.898799,1,place,,,"Bozeman, MT 59715",,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
